,precision,recall,f1-score,support
truthful,0.9183673469387755,0.84375,0.8794788273615635,160.0
deceptive,0.8554913294797688,0.925,0.8888888888888888,160.0
accuracy,0.884375,0.884375,0.884375,0.884375
macro avg,0.8869293382092722,0.884375,0.8841838581252262,320.0
weighted avg,0.8869293382092721,0.884375,0.8841838581252262,320.0
